rootfs on / type rootfs (rw)
unionfs on /opt/X11/merged type fuse.unionfs (rw,nosuid,nodev,relatime,user_id=0,group_id=0,default_permissions)
fuse-overlayfs on /xorg type fuse.fuse-overlayfs (rw,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other)
devtmpfs on /xorg/dev type devtmpfs (rw,relatime,size=10240k,nr_inodes=62612,mode=755)
tmpfs on /xorg/tmp type tmpfs (rw,relatime,size=32768k)
tmpfs on /xorg/run type tmpfs (rw,relatime,size=8192k)
tmpfs on /xorg/dev/shm type tmpfs (rw,relatime)
tmpfs on /xorg/var/log type tmpfs (rw,relatime,size=8192k)
sysfs on /xorg/sys type sysfs (rw,relatime)
proc on /xorg/proc type proc (rw,relatime)
devpts on /xorg/dev/pts type devpts (rw,relatime,mode=600)
tmpfs on /xorg/etc/resolv.conf type tmpfs (rw,relatime,size=16384k)
devtmpfs on /opt/X11/vnc-touch/dev type devtmpfs (rw,relatime,size=10240k,nr_inodes=62612,mode=755)
tmpfs on /opt/X11/vnc-touch/tmp type tmpfs (rw,relatime,size=16384k)
tmpfs on /opt/X11/vnc-touch/run type tmpfs (rw,relatime,size=8192k)
tmpfs on /opt/X11/vnc-touch/dev/shm type tmpfs (rw,relatime)
sysfs on /opt/X11/vnc-touch/sys type sysfs (rw,relatime)
proc on /opt/X11/vnc-touch/proc type proc (rw,relatime)
devpts on /opt/X11/vnc-touch/dev/pts type devpts (rw,relatime,mode=600)
tmpfs on /opt/X11/vnc-touch/etc/resolv.conf type tmpfs (rw,relatime,size=16384k)
tmpfs on /opt/X11/vnc-touch/opt/inkbox_device type tmpfs (rw,relatime,size=16384k)
fuse-overlayfs on /opt/X11/vnc-touch/bin/kobo_config.sh type fuse.fuse-overlayfs (ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other)
fuse-overlayfs on /opt/X11/vnc-touch/opt/qt5/plugins/platforms/libkobo.so type fuse.fuse-overlayfs (ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other)
tmpfs on /run type tmpfs (rw,nodev,relatime,size=50796k,mode=755)
debugfs on /sys/kernel/debug type debugfs (rw,nosuid,nodev,noexec,relatime)
fusectl on /sys/fs/fuse/connections type fusectl (rw,nosuid,nodev,noexec,relatime)
shm on /dev/shm type tmpfs (rw,nosuid,nodev,noexec,relatime)
/dev/loop0 on /data/onboard type vfat (rw,nosuid,nodev,noexec,relatime,fmask=0022,dmask=0022,codepage=cp437,iocharset=iso8859-1,shortname=mixed,errors=remount-ro)
fuse-overlayfs on /kobo type fuse.fuse-overlayfs (rw,nosuid,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other)
tmpfs on /kobo/opt/ibxd type tmpfs (rw,nodev,relatime,size=50796k,mode=755)
tmpfs on /xorg/opt/ibxd type tmpfs (rw,nodev,relatime,size=50796k,mode=755)
squashfuse on /opt/isa type fuse.squashfuse (rw,nosuid,nodev,relatime,user_id=0,group_id=0)
squashfuse on /kobo/mnt/onboard/.adds/inkbox type fuse.squashfuse (rw,nosuid,nodev,relatime,user_id=0,group_id=0,allow_other)
/dev/mmcblk0p4 on /kobo/mnt/onboard/.adds/inkbox/.config type ext4 (rw,relatime,user_xattr,barrier=1,data=ordered)
squashfuse on /kobo/mnt/onboard/.adds/qt-linux-5.15.2-kobo type fuse.squashfuse (rw,nosuid,nodev,relatime,user_id=0,group_id=0,allow_other)
squashfuse on /kobo/mnt/onboard/.adds/Python-3.9.2 type fuse.squashfuse (rw,nosuid,nodev,relatime,user_id=0,group_id=0,allow_other)
fuse-overlayfs on /kobo/mnt/onboard/.adds/qt-linux-5.15.2-kobo/plugins/platforms/libkobo.so type fuse.fuse-overlayfs (ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other)
fuse-overlayfs on /kobo/mnt/onboard/.adds/inkbox/eink.qss type fuse.fuse-overlayfs (ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other)
/dev/loop0 on /kobo/mnt/onboard/onboard type vfat (rw,nosuid,nodev,noexec,relatime,fmask=0022,dmask=0022,codepage=cp437,iocharset=iso8859-1,shortname=mixed,errors=remount-ro)
squashfuse on /kobo/mnt/onboard/onboard/.apps/Sanki type fuse.squashfuse (rw,nosuid,nodev,relatime,user_id=0,group_id=0,allow_other)
